影院名称,影院专资,所属城市
深圳一帆影城,44221501,深圳
百川国际影城（南山欢乐颂店）,44224601,深圳
深圳中影易禾影城,44011031,深圳
麦希中影南方布吉店,44011391,深圳
中影时空国际影城（观澜章阁店）,44011321,深圳
星城影院(横岗店),44224501,深圳
奕阳国际影城（南山益田假日广场店）,44014501,深圳
保利国际影城(保利文化广场店),44014201,深圳
百誉影城东门店,44222801,深圳
深圳百老汇影城cocopark店,44013901,深圳
中影ul城市影院龙珠店,44011251,深圳
中影飞尚百誉国际影城（京基百纳·激光巨幕店）,44223501,深圳
博纳国际影城（龙岗大运店）,44221601,深圳
太阳数码影城,44010801,深圳
ZCV布吉影城,44011131,深圳
博亚影城（五和店）,44011201,深圳
东影南国国际影城（CGS中国巨幕唐美店）,44011231,深圳
万达影城（深圳龙盛新天地店）,44011371,深圳
德信影城（沙井联诚店）,44011261,深圳
完美世界影城（沙井店）,44019001,深圳
深圳博纳国际影城皇庭店,44223601,深圳
深圳博纳国际影城华强店,44017001,深圳
博纳UA影城（KK Mall IMAX店）,44017901,深圳
天津天影龙云国际影城,12031701,天津
天津农垦博纳国际影城IMAX,12044501,天津
星美影商城（天津盛林店）,12043701,天津
天津美亚HeyLED影城,12062601,天津
银兴国际影城（彩悦城Dolby激光店）,12034701,天津
金逸影城天津西岸店,12030701,天津
天津中影国际影城（津湾CINITY店）,12010401,天津
天津横店电影城麦购店,12013801,天津
顺德影城,12140616,天津
天影朗香国际影城,12010701,天津
星美影商城（天津星月同辉店）,12130101,天津
首都电影院天津店（中国巨幕）,12025601,天津
万达影城（河东IMAX激光店）,12041401,天津
幸福蓝海国际影城（天津天佑城店）,12045401,天津
天津中传国际影城,12065801,天津
万达影城（天津金街悦荟广场店）,12020401,天津
万达影城（南开RealD店）,12041101,天津
金逸影城天津鞍山西道店,12040601,天津
文投天津影城,12042301,天津
中影数字影城（御龙湾店）,12131271,天津
大地影院（天津渔夫码头店）,12115701,天津
CGV影城(梅江ScreenX店),12115501,天津
UME影城（天津东丽店）,12100651,天津
天津百丽宫影城（LUXE嘉里汇店）,12020671,天津
新影联鸿泰影城,12070201,天津
上影国际影城滨江道店,12012401,天津
天津左岸国际电影城,12030501,天津
完美世界影城（幸福广场店）,12094801,天津
完美世界影城（天津迎宾店）,12094101,天津
金逸天津武清店,12140631,天津
完美世界影城宝坻店（原17.5影城）,12154001,天津
大地影院（天津一商友谊店）,12080641,天津
